Title,Url,Page,Location on page,Side,Drawing Inscription,Drawing Date,Support Material,Drawing Medium and Style,Set of Drawings,Drawing Source,Title of depicted object,Current Location,GeolocCurrentLocation,Current inventory no.,Source object material,Source object type,Date,Discovery date,Archeological Findspot,geolocFindspot,Provenance,Collector,Iconography,Tracing Source,Online Collection Record,Bibliographic References:,Notes,Updated date
Medal - Victoria on a chariot pulled by winged snakes,http://digitalmontagny.inha.fr/en/record/montagny76r10,Folio 76 Recto,"Leaf 76r, right of the page, second from the bottom",Vertical,,,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,medal,,,,,,,"Chariot, Draco, Laurel crown, Medal, Torch, Victory",,,,,2015-08-03T13:55:00Z
Medal - Victory,http://digitalmontagny.inha.fr/en/record/montagny52r02,Folio 52 Recto,"Leaf 52r, middle of the page, left",Vertical,,,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,medal,,,,,,,"Crown, Garland, Medal, Victory",,,,,2015-06-17T12:06:00Z
Medal - Victory bringing a trophy,http://digitalmontagny.inha.fr/en/record/montagny70v02,Folio 70 Verso,"Leaf 70v, bottom of the page","Horizontal, turn book clockwise","[ink] c'est délicieux, je suis fou de cette, figure, E. H. Montagny, Peintre d'histoire., à noter, grand style, Preso d'une medaglia Antica, La Vittoria",,White paper,"Pencil, chiaroscuro",,Original work of art (made from),,Location unknown,,,,medal,,,,,,,"Laurel crown, Trophy, Victory",,,,,2015-08-03T13:55:00Z
Modern painting - Madonna,http://digitalmontagny.inha.fr/en/record/montagny88r02,Folio 88 Recto,"Leaf 88r, middle of the page","Horizontal, turn book clockwise","[ink] note., avec coiffure peu connue des, Artistes qui, donne un, caractère, verginal, à la tête, (Jolie Tête d'après Perugin), j'en suis fou, Montagny, Peintre d'histoire, croquis, (note.) d'après Pierre Perugin cel. Peintre,, il naquit à Pérouse en 1446 de parents, pauvres, il fut le maître du cel. Raphael., un filou lui vola sa cassette d'argent le, Pérugin fut si affligé de cette perte qu'il en mourut, de chagrin.",,White paper,"Pencil, chiaroscuro",,Original work of art (made from),,Location unknown,,,,easel painting,,,,,,,"Crown, Madonna",,,,,2015-05-14T19:39:00Z
Modern painting -The child Jesus,http://digitalmontagny.inha.fr/en/record/montagny86r02,Folio 86 Recto,"Leaf 86r, middle of the page",Vertical,"[ink] (à noter), Le sommeil de l'enfant jesus., d'après Louis Carache., charmante __ figure très gracieuse",,White paper,"Pencil, chiaroscuro",,Original work of art (made from),,Location unknown,,,,easel painting,,,,,,,"Angel, Cherub, Christ-child",,,,,2015-05-14T21:39:00Z
Monument - Entrance of the tomb of Virgil,http://digitalmontagny.inha.fr/en/record/montagny37r01,Folio 37 Recto,"Leaf 37r, top of the page, left",Vertical,"À Naples, Vue d'après nature, du tombeau de Virgile",,White paper,"Ink, chiaroscuro",Naples drawings,Original work of art (made from),Monument - Virgil's tomb,Naples (inhabited place),,,,monument,Ist c. B.C.,,"Italy, Naples, Parco Virgiliano a Piedigrotta","40.8299208, 14.2172493",,,,,,"De Caro, 2002",,2015-05-16T16:32:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 43-49,,
Monument - Inside of the tomb of Virgil,http://digitalmontagny.inha.fr/en/record/montagny37r02,Folio 37 Recto,"Leaf 37r, top of the page, right",Vertical,"intérieur du tombeau, de Virgile, voi (illegible), À Naples, (on the page) Inscription qui se trouve au tombeau de Virgile, qui cenerer ? tumuli hexe vestigia ille hoc (condituo olim) qui cecinet pascur,, ruro duces. con, reg. m. d. L. III.",,White paper,"Ink, chiaroscuro",Naples drawings,Original work of art (made from),"Monument - Virgil's tomb, inside",Naples (inhabited place),,,,monument,First century BC,,"Italy, Naples, Parco Virgiliano a Piedigrotta","40.8299208, 14.2172493",,,,,,"De Caro, 2002",,2015-05-16T16:32:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 43-49,,
Mosaic - Acrobat (looking backward),http://digitalmontagny.inha.fr/en/record/montagny33r07,Folio 33 Recto,"Leaf 33r, top right of the page (third drawing)",Vertical,"[black ink, directly on leaf] Saltatores nel med'emo , musaico Antico",,Transparent paper,"Ink, line drawing",,Engraving,Floor mosaic showing acrobats in tendrils,Location unknown,,,,mosaic (visual work),,,"Italy, Rome, villa Corsini","41.89123499999999, 12.463467",,,Acrobat,"Bartoli, 1691 - I, pl. 35",,,,2015-07-29T14:15:00Z
"Mosaic - Acrobat (looking backward, facing left)",http://digitalmontagny.inha.fr/en/record/montagny33r05,Folio 33 Recto,"Leaf 33r, top right of the page",Vertical,"[ink, directly on album leaf] Saltatores , Tolto d'un musaico , Antico , d'un sepolcro della , villa Corsina",,Transparent paper,"Ink, line drawing",,Engraving,Floor mosaic showing acrobats in tendrils,Location unknown,,,,mosaic (visual work),,1680's,"Italy, Rome, villa Corsini","41.89123499999999, 12.463467",,,"Acanthus, Acrobat","Bartoli, 1691 - I, pl. 35",,,,2015-02-10T10:21:00Z
Mosaic - Acrobat (with conical hat),http://digitalmontagny.inha.fr/en/record/montagny33r06,Folio 33 Recto,"Leaf 33r, top right of the page (second drawing)",Vertical,"[black ink, directly on album leaf] Saltatores , nel med'emo musaico , Antico",,Transparent paper,"Ink, line drawing",,Engraving,Floor mosaic showing acrobats in tendrils,Location unknown,,,,mosaic (visual work),,,"Italy, Rome, villa Corsini","41.89123499999999, 12.463467",,,"Acanthus, Acrobat","Bartoli, 1691 - I, pl. 35",,,,2015-02-10T10:22:00Z
"Mosaic - Acrobat (with conical hat, facing left)",http://digitalmontagny.inha.fr/en/record/montagny33r09,Folio 33 Recto,"Leaf 33r, bottom of the page (center)",Vertical,"[black ink, directly on leaf] Saltatores nel , musaico Antico del , Sepolcro di villa , Corsina",,Transparent paper,"Ink, line drawing",,Engraving,Floor mosaic showing acrobats in tendrils,Location unknown,,,,mosaic (visual work),,,"Italy, Rome, villa Corsini","41.89123499999999, 12.463467",,,"Acanthus, Acrobat","Bartoli, 1691 - I, pl. 35",,,,2015-02-10T10:25:00Z
Statua - Minerva,http://digitalmontagny.inha.fr/en/record/montagny71v01,Folio 71 Verso,"Leaf 71v, top of the page",Vertical,"Minerva Statua Antica, qui minerva, ha la testa coperta, della pelle del mostro, Egis e lo uccise della, pelle se ne fece una, corazza non per, difesa dalle armi, nemiche ma ancora, in perpetuo trofeo, della sua bravura e, vi pose altresì la, testa di Medusa.",,Transparent paper,"Ink, line drawing",,Engraving,Athena,Location unknown,,"Rome, Villa Albani, Galleria del Parnaso, inv. 1012",marble (rock),,Hadrian era,,,,Albani coll.,,"Aegis, Gorgon, Helmet, Minerva","Winckelmann, 1803 - II, pl. 14",,"Bol and Allroggen-Bedel, 1989",,2015-03-25T15:40:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"n. 135, p. 432-436, pl. 238-241",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Winckelmann, 1803",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Winckelmann, 1808",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"vol. III p. 337; IV p. 206; V pp. 18, 31, 102",,
Statue,http://digitalmontagny.inha.fr/en/record/montagny16r08,Folio 16 Recto,"Leaf 16r, bottom of the page, right","Horizontal, turn book clockwise",[vertical] aux Etudes à Naples,,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Location unknown,,,,statue,,,,,,,,,,,,2015-05-16T16:35:00Z
Statue (?) - Faun playing the flute,http://digitalmontagny.inha.fr/en/record/montagny23r03,Folio 23 Recto,"Leaf 23r, bottom of the page","Horizontal, turn book clockwise",[ink] Naples,,Blue paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Location unknown,,,,statue,,,,,,,"Aulos, Faun",,,,,2015-08-03T16:04:00Z
Statue (?) - Old woman crying,http://digitalmontagny.inha.fr/en/record/montagny66r02,Folio 66 Recto,"Leaf 66r, middle of the page",Vertical,"vecchie che piangevano, donde [?] ritraevvano, denaro secondo l'uso, Antico",,Blue paper,"Ink, chiaroscuro",,Original work of art (made from),,Location unknown,,,,statue,,,,,,,,,,,,2015-08-15T14:30:00Z
Statue - A draped woman,http://digitalmontagny.inha.fr/en/record/montagny12r02,Folio 12 Recto,"Leaf 12r, top of the page, right","Horizontal, turn book clockwise","musée Pio-, Clementino à Rome",,White paper,"Pencil, line drawing",,Original work of art (made from),"Woman in chiton and coat, with diadem.",Vatican. Museo Pio-Clementino,,Inv. 912,marble (rock),"bas-relief (sculpture technique), statue",,,,,"Bought in 1771 by Bartolomeo Cavaceppi. , in the Loggia Scoperta until 1899, Pio Clementino museum, Vatican",,Braid,,,"Amelung, 1903",,2015-07-27T15:33:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 52 C,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Andreae et al., 1995",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, pl. 209",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Spinola, 2004",,
,,,,,,,,,,,,,,,,,,,,,,,,,,PN 41,,
Statue - Asclepius,http://digitalmontagny.inha.fr/en/record/montagny08r01,Folio 8 Recto,"Leaf 8r, top of the page","Horizontal, turn book clockwise","Pare che , [vertically] 37, sia Esculapio , Giovine , era dio della , Medicina e della , chirurgia, 3 Palmi e 3 oncie , Romano., Statua di marmo, 3 Palmi è 3 oncie Romano , nel museo , Pio Clementino",,White paper,"Pencil and ink, line drawing",Rome sketchbook,Original work of art (made from),Asclepius,Vatican. Museo Pio-Clementino. Museo Chiaramonti,,LI 19. Inv. no. 2061,marble (rock),statue,Second c. A.D.,,,,Bought in 1803 from Giacomo Raffaelli,,"Asclepius, Snake",,http://arachne.uni-koeln.de/item/objekt/20063,"Amelung, 1903",,2015-09-07T13:35:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, p. 366 n. 85, pl. 38",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Andreae et al., 1995",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, 1, pl. 310 ; I, 2, pl. 712-713",,
Statue - Asclepius,http://digitalmontagny.inha.fr/en/record/montagny08r03,Folio 8 Recto,"Leaf 8r, bottom of page","Horizontal, turn book clockwise","Palmi Romano 5, 3 oncie , Statua Antica in marmo, nel museo Pio Clementino, [vertically] 38, [on pedestal] Esculapio Dio della, Medicina e della Chirurgia.",,White paper,"Pencil and ink, line drawing",Rome sketchbook,Original work of art (made from),Asclepius,Vatican. Museo Pio-Clementino. Museo Chiaramonti,,inv. 1248 ; Am. 684 ; Spi. IV.5,marble (rock),statue,Severian era,,,,"Pio Clementino museum, Vatican (?)",,"Asclepius, Caduceus (Attributes of Mercury), Snake",,http://arachne.uni-koeln.de/item/objekt/20064,"Andreae et al., 1995",,2015-07-27T15:25:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, 3, pl. 1046-1047",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"LIMC, 1981",,
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 878 N°132 s.v. Asclepios (B. Holtzmann).,,
Statue - Asclepius,http://digitalmontagny.inha.fr/en/record/montagny54r02,Folio 54 Recto,"Leaf 54r, bottom of the page, left",,"pris aux Etudes, a Naples statue, de marbre",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Asclepius,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",6265,marble (rock),statue,From a prototype of the IV c. BC.,,,,,,"Asclepius, Snake",,,"Cantilena, 1989",,2015-07-23T14:33:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n° 108 p. 170-171,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"LIMC, 1981",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, p. 878, n. 138",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Museo Archeologico Nazionale (Napoli), 1989",,
,,,,,,,,,,,,,,,,,,,,,,,,,,n° 108 p. 170-171,,
Statue - Bust of a Minotaur,http://digitalmontagny.inha.fr/en/record/montagny01v02,Folio 1 Verso,"Leaf 1v, center of page","Horizontal, turn book clockwise","Busto di minotauro in marmo, , nel Museo Pio-Clementino , [vertical] 26",,White paper,"Ink, chiaroscuro",Rome sketchbook,Original work of art (made from),Bust of a Minotaur,Vatican. Museo Pio-Clementino,,Inv. 461,marble (rock),statue,"Rome, second half of the 1st c. AD, from an original dating of the middle of the 5th c. BC",,"Italy, Naples","40.8517746, 14.2681244","Barberini villa, Castelgandolfo (until 1633), B. Cavaceppi coll., Rome, acquired in 1792 by the Vatican",,Minotaur,,http://arachne.uni-koeln.de/item/objekt/53818,"Amelung, 1903",,2015-09-03T18:50:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, Cat. no. 232 Pl. 44.232",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Spinola, 2004",,
,,,,,,,,,,,,,,,,,,,,,,,,,,.1 148 Cat. no. 68,,
Statue - Bust of a woman,http://digitalmontagny.inha.fr/en/record/montagny03v01a,Folio 3 Verso,"Leaf 3v, top of the page","Horizontal, turn book clockwise",Busto incògnito.,,White paper,"Ink, line drawing",,Original work of art (made from),Bust of a woman,Location unknown,,,,statue,,,,,,,,,,,,2015-09-12T19:19:00Z
Statue - Child with a goose,http://digitalmontagny.inha.fr/en/record/montagny07r04,Folio 7 Recto,"Leaf 7r, bottom of the page, center",Vertical,[ink] à Naples aux études,,White paper,"Ink, chiaroscuro",Naples drawings,Original work of art (made from),Young boy sitting with a goose,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 6110,marble (rock),statue,First half of the Ist c. d.C.,,,,"Palazzo degli studi, Naples, 1644 - 1736 : Palazzo Farnese, Campo dei Fiori, Rome, 1736 - 1796 (?) : Villa della Farnesina alla Lungara, Rome, post 1796 : Naples, Farnese collection",,"Goose, Toddler",,,"Ajello et al., 1988",,2015-09-12T19:41:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 183, fig. 101",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Gasparri et al., 2009",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, p. 205-207, n. 96; pl. XC,1-4",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reinach, 1895",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, p. 534",,
Statue - Constantine,http://digitalmontagny.inha.fr/en/record/montagny69r02,Folio 69 Recto,"Leaf 69r, middle of the page",Vertical,,,White paper,"Pencil, chiaroscuro",,Original work of art (made from),,Rome. Piazza del Campidoglio (square),"41.8933592, 12.4828018","balustrade, inv. 56630",,statue,,,,,,,Armour,,http://arachne.uni-koeln.de/item/objekt/56630,"Fittschen and Zanker, 1983",,2015-07-03T11:45:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"n. 120, pl. 149-150",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Helbig, 1868",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, n. 1167",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Drawn by Montagny,,
Statue - Cupid,http://digitalmontagny.inha.fr/en/record/montagny40r04,Folio 40 Recto,"Leaf 40r, middle of the page, right",Vertical,"Vertuno statuetta, di Metallo, Tolto dall'Antico, vertumne Dieu de l'Automne, et des Jardins",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,metal,statue,,,,,,,"Bunch of grapes, Cupid, Horn","Bartoli and Galeotti, 1751 - II, pl. XXXVIII",,,,2015-07-29T11:46:00Z
Statue - Details of a lyra,http://digitalmontagny.inha.fr/en/record/montagny07v01b,Folio 7 Verso,"Leaf 7v, top of the page","Horizontal, turn book clockwise",(See Montagny_07v_1a),,White paper,"Ink, line drawing",,Original work of art (made from),,Location unknown,,,,statue,,,,,,,Lyre,,,,,2015-06-05T14:10:00Z
Statue - Details of a Venus,http://digitalmontagny.inha.fr/en/record/montagny07v01a,Folio 7 Verso,"Leaf 7v, top of the page","Horizontal, turn book clockwise","sono tutti , frammenti , Antichi.",,White paper,"Pencil and ink, line drawing",,Original work of art (made from),Medici Venus,Paris. Musée du Louvre,"48.8606111, 2.337644",MR 377,marble (rock),statue,,,,,Borghese collection (1806),,"Vase, Venus",,,"Coliva, 2011",,2015-06-17T16:20:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,164,,
Statue - Equestrian statue of Alexander,http://digitalmontagny.inha.fr/en/record/montagny09r02,Folio 9 Recto,"Leaf 9r, center of the page","Horizontal, turn book clockwise","Alexandre le grand Petit , Statue équestre en Bronze , gravée dans le 11eme volume , des Bronzes d Herculanum., [ink] Au musée de Portici",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Equestrian statue of Alexander the Great,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",Inv. no. 4996,bronze (metal),statue,First century AD,,"Italy, Herculaneum",,Portici museum,,"Armour, Equestrian statue, Horse, Sword",,,"Cantilena, 1989",,2015-05-16T14:44:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 140, n. 216",,
Statue - Eros sleeping,http://digitalmontagny.inha.fr/en/record/montagny17r02,Folio 17 Recto,"Leaf 17r, top of the page, center","Horizontal, turn book clockwise",[ink] croquis à Naples aux études,,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Eros sleeping (Farnese),Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",6339,marble (rock),statue,,,,,Farnese collection,,,,http://arachne.uni-koeln.de/item/objekt/130368,"Cantilena, 1989",,2015-05-16T14:46:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 174, n. 140",,
Statue - Feet,http://digitalmontagny.inha.fr/en/record/montagny59r02,,"Leaf 59r, left of the page, second from the top","Horizontal, turn book clockwise","cothurne, de la belle, Diane, Antique",,Transparent paper,"Ink, line drawing",,Engraving,Diana of Versailles,Paris. Musée du Louvre,"48.8606111, 2.337644",Ma 589,marble (rock),statue,"Roman, Imperial (1st-2nd century BCE)",,,,,,,"Galerie Napoléon, 1804 - VI, p. 366",http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=911,,,2015-03-03T09:53:00Z
Statue - Foot,http://digitalmontagny.inha.fr/en/record/montagny59r01,Folio 59 Recto,"Leaf 59r, top of the page, left","Horizontal, turn book clockwise","cothurne de la belle, statue Antique, d'Ariane",,"White paper, Transparent paper","Ink, line drawing",,Engraving,,Location unknown,,,,statue,,,,,,,,,,,,2015-06-17T12:06:00Z
Statue - Fragment,http://digitalmontagny.inha.fr/en/record/montagny08v05,Folio 8 Verso,"Leaf 8v, bottom left of the page","Horizontal, turn book clockwise","frammento Antico proveniente d’una , Statua di Venere. , vaso dei Profumi",,White paper,"Ink, chiaroscuro",,Original work of art (made from),Fragment of a statue of Aphrodite,Location unknown,,,marble (rock),statue,,,,,,,"Stone vase, Venus",,,,,2015-06-05T10:43:00Z
Statue - Group of Satyr and Maenad,http://digitalmontagny.inha.fr/en/record/montagny19r03,Folio 19 Recto,"Leaf 19r, bottom of the page","Horizontal, turn book clockwise","[ink] groupe de marbre, Des Etudes a Naples",,Blue paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",(magazzini),marble (rock),statue,,,,,,,"Bacchant, Faun",,,,,2015-05-16T14:46:00Z
Statue - Head of a warrior (detail),http://digitalmontagny.inha.fr/en/record/montagny07v01c,Folio 7 Verso,"Horizontal, turn book clockwise","Horizontal, turn book clockwise","Elmo con testa , Antica",,White paper,"Ink, line drawing",,Original work of art (made from),,Location unknown,,,,statue,,,,,,,"Helmet, Warrior",,,,,2015-06-05T14:11:00Z
Statue - Head of Diana,http://digitalmontagny.inha.fr/en/record/montagny59r03a,Folio 59 Recto,"Leaf 59r, left of the page, third from the top","Horizontal, turn book clockwise","La, bellissima, Diana, Antica, marmo di, Paros",,Transparent paper,"Ink, line drawing",,Engraving,Diane de Versailles,Paris. Musée du Louvre,"48.8606111, 2.337644",Ma 589,marble (rock),statue,"Roman, Imperial (1st-2nd century AD)",,,,,,Diana,"Galerie Napoléon, 1804 - VI, p. 366",http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=911,,,2015-03-03T09:54:00Z
Statue - Head of Hygeia,http://digitalmontagny.inha.fr/en/record/montagny59r03b,Folio 59 Recto,"Leaf 59r, left of the page, third from the top","Horizontal, turn book clockwise","Hygie Statue , Antique , marbre du, greco",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,marble (rock),statue,,,,,,,Hygieia,"Réveil et Duchesne, 1828-1834 - vol. V, p. 348",,"Réveil et Duchesne, 1828-1834",,2015-09-12T17:56:00Z
,,,,,,,,,,,,,,,,,,,,,,,,"""Domitia en Hygie""",,"V, p. 348, ""Domitia en Hygie""",,
Statue - Head of Sextus,http://digitalmontagny.inha.fr/en/record/montagny24r08,Folio 24 Recto,"Leaf 24r, bottom left of the page",Vertical,"Sextus , de , chéronée , stoïcien , célèbre , Antique",,Transparent paper,"Ink, line drawing",,Engraving,Statue of a Man wearing Himation,Vatican. Museo Pio-Clementino,,"Sala della Biga, 2340",marble (rock),statue,,,,,"Rega, merchant, Naples (1788), 18th c.: Vatican museum, Rome, 1799-1815 : Louvre, Paris",,,"Galerie Napoléon, 1804 - V, p. 300",http://arachne.uni-koeln.de/item/objekt/19570,"Lippold, 1930",,2015-08-03T15:38:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"III, 2, pp. 94 ; n. 620, Pl. 45-46",,
Statue - Hera Farnese,http://digitalmontagny.inha.fr/en/record/montagny12r04,Folio 12 Recto,"Leaf 12r, bottom of the page","Horizontal, turn book clockwise","[vertical, ink] Aux études à Naples",,White paper,"Pencil, chiaroscuro",,Original work of art (made from),Hera Farnese,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",6027,marble (rock),statue,,,,,Farnese collection,,Juno,,,"Cantilena, 1989",,2015-03-16T13:35:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 156-157, n. 22",,
Statue - Huntress Diana,http://digitalmontagny.inha.fr/en/record/montagny54r03,Folio 54 Recto,"Leaf 54r, bottom of the page, right",Vertical,[ink] déssiné aux études à Naples,,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",,marble (rock),statue,,,,,,,"Diana, Dog, Quiver, Spear",,,"Milanese, 2009",,2015-07-23T14:27:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 87,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Top left of the photo : sala della Base di Pozzuoli, MANN, 1890.",,
Statue - Lion's head (profile view),http://digitalmontagny.inha.fr/en/record/montagny08v01,Folio 8 Verso,"Leaf 8v, top left of the page","Horizontal, turn book clockwise",Testa Antica di Léone.,,White paper,"Ink, chiaroscuro",,Copy,Medici Lion,Florence (inhabited place),"43.7695604, 11.2558136",None,marble (rock),statue,1594,,,,,,Lion's head,,,"Haskell and Penny, 1981",,2015-09-12T12:59:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 247-250,,
Statue - Marcus Aurelius,http://digitalmontagny.inha.fr/en/record/montagny01r02,Folio 1 Recto,"Leaf 1r, bottom of the page",Vertical,MARCI AURELII statua equestris vetiis ex aere. 16.,,Transparent paper,"Ink, line drawing",,Engraving,Equestrian Statue of Marcus Aurelius,Rome. Musei Capitolini,"41.8929428, 12.4825577",inv. MC3247,bronze (metal),statue,176 C. E.,,,,,,"Equestrian statue, Horse","Quojani, 1779 - pl. 16","http://arachne.uni-koeln.de/item/objekt/603943, http://www.museicapitolini.org/collezioni/percorsi_per_sale/museo_del_palazzo_dei_conservatori/esedra_di_marco_aurelio/statua_equestre_di_marco_aurelio, http://capitolini.net/object.xql?urn=urn%3Acollectio%3A0001%3Ascu%3A03247","Stewart, 2012",,2015-09-03T18:50:00Z
Statue - Monumental Head of Juno,http://digitalmontagny.inha.fr/en/record/montagny41r01,Folio 41 Recto,"Leaf 41r, top of the page",Vertical,[ink] Testa colosale 13 Palmi Romani,,Blue paper,"Pencil, chiaroscuro",,Original work of art (made from),Ludovisi Juno,Rome. Palazzo Altemps,"41.9011402, 12.4730566",inv. 8631,marble (rock),"monument, statue",,,,,,,"Crown, Juno, Palmette",,,"De Angelis d&#039;Ossat, 2002",,2015-07-27T15:45:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 182-185,,
Statue - Moschion (front view),http://digitalmontagny.inha.fr/en/record/montagny16r01,Folio 16 Recto,"Leaf 16r, top of the page","Horizontal, turn book clockwise","pris aux études à Naples, MOsXION",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Statuette of Moschion,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",6238,marble (rock),statue,,,,,"Garimberti coll., then Orsini coll., then Farnese coll., Palazzo Farnese, Campo dei Fiori, Rome, Villa della Farnesina, Rome",,,,,"Cantilena, 1989","There is an inscription on the reverse of the drawing, illegible (""Desideria de An(...) de Rome et (...)"")",2015-09-12T13:55:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 168, n. 101",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Gasparri et al., 2009",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, p. 51-52, n. 29, pl. XXIX.1-5 IG, XIV, 1187",,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,with further bibliography,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruesch, 1911",,
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 1132,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Visconti, 1808",,
,,,,,,,,,,,,,,,,,,,,,,,,,,pl. VII,,
Statue - Moschion (left side),http://digitalmontagny.inha.fr/en/record/montagny13r05,Folio 13 Recto,"Leaf 13r, bottom of the page, right","Horizontal, turn book clockwise","[ink, vertical] aux études à Naples, MosXION",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Statuette of Moschion,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",6238,marble (rock),statue,,,,,"Garimberti coll., then Orsini coll., then Farnese coll., Palazzo Farnese, Campo dei Fiori, Rome, Villa della Farnesina, Rome",,,,,"Cantilena, 1989",,2015-05-16T14:45:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 168, n. 101",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Gasparri et al., 2009",,
